"date","close.spy","close.tlt","fed.rate"
2008-01-08,138.91,94.57,NA
2008-01-09,140.37,94.75,4.23
2008-01-10,141.29,93.47,NA
2008-01-11,140.15,94.2,NA
2008-01-14,141.28,94.55,NA
2008-01-15,138.17,95.61,NA
2008-01-16,136.98,94.92,4.24
2008-01-17,133.43,96.15,NA
2008-01-18,132.06,95.49,NA
2008-01-22,130.72,96.51,NA
2008-01-23,133.86,96.29,4
2008-01-24,134.99,94.36,NA
2008-01-25,133.04,95.95,NA
2008-01-28,135.24,95.59,NA
2008-01-29,135.91,94.94,NA
2008-01-30,134.91,94.32,3.5
2008-01-31,137.37,94.99,NA
2008-02-01,139.58,95.23,NA
2008-02-04,137.82,94.25,NA
2008-02-05,134.13,94.97,NA
2008-02-06,133.05,94.68,3.01
2008-02-07,133.93,92.64,NA
2008-02-08,133.07,93.7,NA
2008-02-11,133.75,94.09,NA
2008-02-12,134.99,93.53,NA
2008-02-13,136.37,92.54,3
2008-02-14,135.17,91.18,NA
2008-02-15,135.14,91.88,NA
2008-02-19,135.52,90.95,NA
2008-02-20,135.92,91.58,2.98
2008-02-21,134.79,92.55,NA
2008-02-22,135.62,92.02,NA
2008-02-25,137.33,91.08,NA
2008-02-26,138.36,91.11,NA
2008-02-27,138.22,91.19,2.96
2008-02-28,136.87,92.81,NA
2008-02-29,133.82,94.23,NA
2008-03-03,133.5,93.64,NA
2008-03-04,132.99,92.73,NA
2008-03-05,133.83,91.62,3
2008-03-06,131.06,92.11,NA
2008-03-07,129.71,92.23,NA
2008-03-10,128,93.59,NA
2008-03-11,132.6,92.79,NA
2008-03-12,131.36,94.58,2.97
2008-03-13,131.69,93.84,NA
2008-03-14,129.61,95,NA
2008-03-17,128.3,95.73,NA
2008-03-18,133.63,95.36,NA
2008-03-19,130.27,96.94,2.7
2008-03-20,132.08,97.18,NA
2008-03-24,134.78,95.3,NA
2008-03-25,134.8,95.7,NA
2008-03-26,133.17,95.3,2.18
2008-03-27,132.75,94.63,NA
2008-03-28,131.56,95.55,NA
2008-03-31,131.89,95.89,NA
2008-04-01,136.61,93.93,NA
2008-04-02,136.7,94.13,2.23
2008-04-03,137.01,94.34,NA
2008-04-04,136.87,95.2,NA
2008-04-07,136.92,94.7,NA
2008-04-08,136.83,94.37,NA
2008-04-09,135.77,95.35,2.23
2008-04-10,136.02,95.03,NA
2008-04-11,133.38,95.67,NA
2008-04-14,132.9,95.11,NA
2008-04-15,133.37,93.93,NA
2008-04-16,136.85,93.01,2.34
2008-04-17,136.97,92.85,NA
2008-04-18,138.48,92.77,NA
2008-04-21,138.59,93.14,NA
2008-04-22,137.92,93.46,NA
2008-04-23,137.72,93.15,2.25
2008-04-24,138.32,92.36,NA
2008-04-25,139.52,91.82,NA
2008-04-28,139.63,92.1,NA
2008-04-29,139.08,92.45,NA
2008-04-30,138.26,93.12,2.28
2008-05-01,141.11,92.78,NA
2008-05-02,141.54,91.61,NA
2008-05-05,140.79,91.61,NA
2008-05-06,142.05,90.95,NA
2008-05-07,139.57,91.34,1.94
2008-05-08,139.16,92.16,NA
2008-05-09,138.9,92.5,NA
2008-05-12,140.46,92.36,NA
2008-05-13,140.49,91.35,NA
2008-05-14,140.82,91.39,1.96
2008-05-15,142.55,92.22,NA
2008-05-16,142.7,91.84,NA
2008-05-19,143.08,91.96,NA
2008-05-20,141.88,92.44,NA
2008-05-21,139.49,92.46,1.96
2008-05-22,139.51,91.37,NA
2008-05-23,137.61,91.77,NA
2008-05-27,138.73,91.15,NA
2008-05-28,139.3,90.34,2.05
2008-05-29,140,89.69,NA
2008-05-30,140.26,90.28,NA
2008-06-02,138.86,90.3,NA
2008-06-03,138.14,90.95,NA
2008-06-04,138.08,90.14,1.99
2008-06-05,140.78,89.6,NA
2008-06-06,136.29,90.76,NA
2008-06-09,136.71,90.76,NA
2008-06-10,136.01,90.17,NA
2008-06-11,133.96,89.96,1.99
2008-06-12,134.46,89.06,NA
2008-06-13,136.15,88.87,NA
2008-06-16,136.23,88.89,NA
2008-06-17,135.57,89.07,NA
2008-06-18,134.25,89.82,1.98
2008-06-19,134.43,89.29,NA
2008-06-20,131.58,89.81,NA
2008-06-23,131.45,90,NA
2008-06-24,131.19,90.6,NA
2008-06-25,131.81,90.64,1.97
2008-06-26,128.23,91.25,NA
2008-06-27,127.68,92.32,NA
2008-06-30,128.04,92.34,NA
2008-07-01,128.42,91.79,NA
2008-07-02,126.14,92.27,2.08
2008-07-03,126.28,92.07,NA
2008-07-07,125,92.49,NA
2008-07-08,127.2,93.09,NA
2008-07-09,124.79,93.5,1.95
2008-07-10,125.35,93.49,NA
2008-07-11,123.84,92.16,NA
2008-07-14,122.75,92.97,NA
2008-07-15,120.99,92.94,NA
2008-07-16,123.96,91.26,2.01
2008-07-17,125.2,90.79,NA
2008-07-18,126.05,90.45,NA
2008-07-21,126.05,90.8,NA
2008-07-22,127.42,90.35,NA
2008-07-23,128.17,90.17,1.99
2008-07-24,125.51,91.05,NA
2008-07-25,125.48,90.14,NA
2008-07-28,123.64,91.05,NA
2008-07-29,126.28,90.68,NA
2008-07-30,128.53,90.77,2.08
2008-07-31,126.83,91.67,NA
2008-08-01,126.16,91.54,NA
2008-08-04,125.02,91.33,NA
2008-08-05,128.36,90.65,NA
2008-08-06,128.93,90.28,2.02
2008-08-07,126.98,91.75,NA
2008-08-08,129.42,92,NA
2008-08-11,130.7,91.12,NA
2008-08-12,129.34,91.97,NA
2008-08-13,128.57,91.65,1.99
2008-08-14,129.58,92.24,NA
2008-08-15,130.21,93.04,NA
2008-08-18,128.39,93.41,NA
2008-08-19,127.03,93.05,NA
2008-08-20,127.58,93.31,2.02
2008-08-21,127.82,93.14,NA
2008-08-22,129.51,93.08,NA
2008-08-25,126.97,94.01,NA
2008-08-26,127.47,94.09,NA
2008-08-27,128.52,94.25,1.99
2008-08-28,130.14,94.26,NA
2008-08-29,128.69,93.84,NA
2008-09-02,127.99,94.37,NA
2008-09-03,127.88,94.77,1.96
2008-09-04,124.03,95.53,NA
2008-09-05,124.42,95.48,NA
2008-09-08,126.99,95.88,NA
2008-09-09,123.22,96.83,NA
2008-09-10,123.72,96.23,1.99
2008-09-11,125.51,96.18,NA
2008-09-12,126.09,94.94,NA
2008-09-15,120.09,98.02,NA
2008-09-16,122.1,98,NA
2008-09-17,116.61,98.49,2.25
2008-09-18,120.07,97.05,NA
2008-09-19,124.12,93.97,NA
2008-09-22,121.31,93.96,NA
2008-09-23,118.55,93.6,NA
2008-09-24,118.93,94.01,1.54
2008-09-25,120.79,93.82,NA
2008-09-26,120.85,94.5,NA
2008-09-29,111.38,97.25,NA
2008-09-30,115.99,94.88,NA
2008-10-01,116.06,95.78,1.32
2008-10-02,111.85,96.55,NA
2008-10-03,110.34,97.4,NA
2008-10-06,104.72,99.17,NA
2008-10-07,100.03,98.87,NA
2008-10-08,97.51,97.45,1.59
2008-10-09,90.7,96.63,NA
2008-10-10,88.5,95.95,NA
2008-10-13,101.35,94.72,NA
2008-10-14,99.85,94.11,NA
2008-10-15,90.02,95.01,0.96
2008-10-16,93.77,94.52,NA
2008-10-17,93.21,93.87,NA
2008-10-20,98.81,94.62,NA
2008-10-21,95.86,95.12,NA
2008-10-22,90.64,97.05,0.69
2008-10-23,91.69,97.77,NA
2008-10-24,87.04,96.73,NA
2008-10-27,83.95,96.8,NA
2008-10-28,93.76,95.39,NA
2008-10-29,93.08,94.91,0.82
2008-10-30,96.3,94.05,NA
2008-10-31,96.83,92.83,NA
2008-11-03,97.11,92.71,NA
2008-11-04,100.41,94.45,NA
2008-11-05,96.19,95.57,0.24
2008-11-06,90.86,94.88,NA
2008-11-07,93.86,94.26,NA
2008-11-10,92.63,94.72,NA
2008-11-11,89.77,95,NA
2008-11-12,85.82,95.61,0.28
2008-11-13,91.17,93.32,NA
2008-11-14,86.62,95.17,NA
2008-11-17,85.47,95.59,NA
2008-11-18,87.08,96.82,NA
2008-11-19,81.5,99.3,0.36
2008-11-20,75.45,104.43,NA
2008-11-21,79.52,102.92,NA
2008-11-24,85.03,101.31,NA
2008-11-25,85.66,104.29,NA
2008-11-26,88.97,104.43,0.56
2008-11-28,90.09,105.72,NA
2008-12-01,82.11,109.4,NA
2008-12-02,85.27,109.82,NA
2008-12-03,87.32,110.13,0.49
2008-12-04,85.3,112.3,NA
2008-12-05,87.93,110.48,NA
2008-12-08,91,110.24,NA
2008-12-09,89.5,112.42,NA
2008-12-10,90.11,112.15,0.13
2008-12-11,87.94,112.37,NA
2008-12-12,88.99,112.37,NA
2008-12-15,87.75,113.65,NA
2008-12-16,91.88,116.46,NA
2008-12-17,91.62,119.99,0.15
2008-12-18,89.29,122.13,NA
2008-12-19,88.19,122.26,NA
2008-12-22,87.06,121.32,NA
2008-12-23,86.16,121.16,NA
2008-12-24,86.66,120.9,0.11
2008-12-26,87.16,121.3,NA
2008-12-29,86.91,120.75,NA
2008-12-30,88.97,121.9,NA
2008-12-31,90.24,119.35,0.1
2009-01-02,92.96,116.35,NA
2009-01-05,92.85,113.35,NA
2009-01-06,93.47,112.21,NA
2009-01-07,90.67,112.65,0.1
2009-01-08,91.04,112.56,NA
2009-01-09,89.09,112.73,NA
2009-01-12,86.95,113.9,NA
2009-01-13,87.11,114.02,NA
2009-01-14,84.37,115.9,0.1
2009-01-15,84.4,116.09,NA
2009-01-16,85.06,114.3,NA
2009-01-20,80.57,114.28,NA
2009-01-21,84.05,110.67,0.2
2009-01-22,82.75,108.54,NA
2009-01-23,83.11,107.69,NA
2009-01-26,83.68,106.75,NA
2009-01-27,84.53,109.26,NA
2009-01-28,87.39,106.53,0.19
2009-01-29,84.55,104.08,NA
2009-01-30,82.83,103.75,NA
2009-02-02,82.58,105.39,NA
2009-02-03,83.74,102.88,NA
2009-02-04,83.33,102.52,0.23
2009-02-05,84.57,102.61,NA
2009-02-06,86.98,102.29,NA
2009-02-09,87.1,102.62,NA
2009-02-10,83.11,104.85,NA
2009-02-11,83.6,106.21,0.23
2009-02-12,83.66,105.21,NA
2009-02-13,82.76,102.41,NA
2009-02-17,79.22,105.6,NA
2009-02-18,79.03,104.7,0.23
2009-02-19,78.18,102.92,NA
2009-02-20,77.42,103.92,NA
2009-02-23,74.65,104.88,NA
2009-02-24,77.48,104.77,NA
2009-02-25,76.87,103.56,0.2
2009-02-26,75.62,102.47,NA
2009-02-27,73.93,101.88,NA
2009-03-02,70.6,103.28,NA
2009-03-03,70.07,102.59,NA
2009-03-04,71.73,102.12,0.22
2009-03-05,68.8,104.96,NA
2009-03-06,68.92,104.26,NA
2009-03-09,68.11,103.65,NA
2009-03-10,72.17,101.66,NA
2009-03-11,72.64,102.76,0.2
2009-03-12,75.5,103.25,NA
2009-03-13,76.09,102.73,NA
2009-03-16,75.86,101.11,NA
2009-03-17,78.18,100.56,NA
2009-03-18,79.93,104.37,0.17
2009-03-19,78.94,104.5,NA
2009-03-20,76.71,103.92,NA
2009-03-23,82.22,103.02,NA
2009-03-24,80.6,104,NA
2009-03-25,81.45,102.6,0.17
2009-03-26,83.11,103.79,NA
2009-03-27,81.61,104.56,NA
2009-03-30,78.79,104.96,NA
2009-03-31,79.52,105.71,NA
2009-04-01,81.06,106.37,0.16
2009-04-02,83.43,105.07,NA
2009-04-03,84.26,102.92,NA
2009-04-06,83.6,102.48,NA
2009-04-07,81.65,102.74,NA
2009-04-08,82.53,103.65,0.14
2009-04-09,85.81,102.35,NA
2009-04-13,85.83,103.29,NA
2009-04-14,84.35,103.83,NA
2009-04-15,85.25,103.65,0.15
2009-04-16,86.5,102.83,NA
2009-04-17,87.08,101.7,NA
2009-04-20,83.43,103.24,NA
2009-04-21,85.06,102.22,NA
2009-04-22,84.54,101.6,0.14
2009-04-23,85.37,101.59,NA
2009-04-24,86.66,100.57,NA
2009-04-27,85.84,101,NA
2009-04-28,85.57,99.35,NA
2009-04-29,87.39,98.47,0.17
2009-04-30,87.42,98.08,NA
2009-05-01,87.89,97.11,NA
2009-05-04,90.88,97.43,NA
2009-05-05,90.57,97.31,NA
2009-05-06,92.14,97.08,0.21
2009-05-07,90.86,94.71,NA
2009-05-08,92.98,94.94,NA
2009-05-11,91.24,96.29,NA
2009-05-12,90.97,96.64,NA
2009-05-13,88.68,97.69,0.17
2009-05-14,89.44,98.07,NA
2009-05-15,88.71,98.04,NA
2009-05-18,91.23,96.52,NA
2009-05-19,91.12,96.01,NA
2009-05-20,90.51,97.02,0.16
